time,class,day,cpu,mem
2015-01-14 17:56:15,flavor14,2,16,32768
2015-01-14 17:56:15,flavor14,2,16,32768
2015-01-14 17:56:24,flavor14,2,16,32768
2015-01-14 17:56:24,flavor14,2,16,32768
2015-01-14 17:56:33,flavor14,2,16,32768
2015-01-14 17:56:33,flavor14,2,16,32768
2015-01-14 20:10:19,flavor15,2,16,65536
2015-01-14 20:52:39,flavor15,2,16,65536
2015-01-14 20:53:55,flavor15,2,16,65536
2015-01-14 20:56:04,flavor15,2,16,65536
2015-01-14 21:00:32,flavor15,2,16,65536
2015-01-14 23:18:28,flavor15,2,16,65536
2015-01-14 23:23:15,flavor15,2,16,65536
2015-01-14 23:57:43,flavor12,2,8,32768
2015-01-15 00:02:02,flavor15,3,16,65536
2015-01-15 00:03:14,flavor4,3,2,2048
2015-01-15 00:04:29,flavor15,3,16,65536
2015-01-15 00:05:26,flavor15,3,16,65536
2015-01-15 00:07:52,flavor9,3,4,16384
2015-01-15 00:08:40,flavor15,3,16,65536
2015-01-15 00:11:36,flavor15,3,16,65536
2015-01-15 00:13:27,flavor15,3,16,65536
2015-01-15 00:25:49,flavor15,3,16,65536
2015-01-15 00:25:50,flavor15,3,16,65536
2015-01-15 00:27:57,flavor15,3,16,65536
2015-01-15 00:30:35,flavor15,3,16,65536
2015-01-15 00:33:22,flavor15,3,16,65536
2015-01-15 00:34:55,flavor15,3,16,65536
2015-01-15 00:37:06,flavor15,3,16,65536
2015-01-15 00:38:56,flavor15,3,16,65536
2015-01-15 01:31:16,flavor8,3,4,8192
2015-01-15 21:42:40,flavor8,3,4,8192
2015-01-16 00:13:51,flavor8,4,4,8192
2015-01-16 00:14:48,flavor15,4,16,65536
2015-01-16 00:14:55,flavor15,4,16,65536
2015-01-16 00:14:55,flavor15,4,16,65536
2015-01-16 00:15:04,flavor15,4,16,65536
2015-01-16 00:16:46,flavor12,4,8,32768
2015-01-16 00:16:57,flavor12,4,8,32768
2015-01-16 00:17:06,flavor12,4,8,32768
2015-01-16 01:58:42,flavor18,4,32,131072
2015-01-16 17:22:26,flavor12,4,8,32768
2015-01-16 17:22:36,flavor12,4,8,32768
2015-01-16 17:35:29,flavor9,4,4,16384
2015-01-16 17:35:31,flavor9,4,4,16384
2015-01-16 17:35:38,flavor9,4,4,16384
2015-01-16 17:43:31,flavor9,4,4,16384
2015-01-16 17:45:06,flavor8,4,4,8192
2015-01-16 17:46:31,flavor9,4,4,16384
2015-01-16 17:46:32,flavor9,4,4,16384
2015-01-16 22:21:34,flavor5,4,2,4096
2015-01-16 23:26:50,flavor8,4,4,8192
2015-01-19 19:07:17,flavor3,0,1,4096
2015-01-19 22:08:18,flavor15,0,16,65536
2015-01-20 00:13:12,flavor6,1,2,8192
2015-01-20 00:13:22,flavor8,1,4,8192
2015-01-20 00:13:23,flavor6,1,2,8192
2015-01-20 00:13:23,flavor6,1,2,8192
2015-01-20 00:13:32,flavor11,1,8,16384
2015-01-20 00:13:32,flavor9,1,4,16384
2015-01-20 01:47:22,flavor8,1,4,8192
2015-01-20 03:07:26,flavor5,1,2,4096
2015-01-20 03:07:27,flavor5,1,2,4096
2015-01-20 18:33:59,flavor11,1,8,16384
2015-01-20 18:35:04,flavor11,1,8,16384
2015-01-20 18:37:05,flavor11,1,8,16384
2015-01-20 18:55:10,flavor8,1,4,8192
2015-01-20 18:55:11,flavor8,1,4,8192
2015-01-20 19:00:19,flavor11,1,8,16384
2015-01-20 19:23:02,flavor5,1,2,4096
2015-01-22 01:27:35,flavor11,3,8,16384
2015-01-22 01:28:59,flavor11,3,8,16384
2015-01-22 03:05:59,flavor14,3,16,32768
2015-01-22 21:34:30,flavor2,3,1,2048
2015-01-22 21:34:32,flavor2,3,1,2048
2015-01-22 23:53:25,flavor4,3,2,2048
2015-01-23 07:44:59,flavor11,4,8,16384
2015-01-23 17:29:18,flavor11,4,8,16384
2015-01-23 17:29:26,flavor11,4,8,16384
2015-01-23 17:47:24,flavor3,4,1,4096
2015-01-24 02:00:40,flavor12,5,8,32768
2015-01-25 01:44:42,flavor14,6,16,32768
2015-01-25 01:44:43,flavor14,6,16,32768
2015-01-25 01:44:43,flavor14,6,16,32768
2015-01-25 01:44:52,flavor14,6,16,32768
2015-01-25 01:44:52,flavor14,6,16,32768
2015-01-25 01:44:52,flavor14,6,16,32768
2015-01-25 01:44:52,flavor14,6,16,32768
2015-01-25 01:45:01,flavor14,6,16,32768
2015-01-27 19:39:54,flavor5,1,2,4096
2015-01-28 19:03:36,flavor8,2,4,8192
2015-01-28 22:24:40,flavor5,2,2,4096
2015-01-28 23:50:22,flavor6,2,2,8192
2015-01-29 23:25:11,flavor5,3,2,4096
2015-01-29 23:25:22,flavor8,3,4,8192
2015-01-29 23:25:40,flavor8,3,4,8192
2015-01-29 23:26:00,flavor8,3,4,8192
2015-01-30 00:02:38,flavor8,4,4,8192
2015-01-30 00:02:47,flavor8,4,4,8192
2015-02-01 03:20:36,flavor11,6,8,16384
2015-02-01 03:20:36,flavor11,6,8,16384
2015-02-01 03:20:36,flavor11,6,8,16384
2015-02-01 03:20:37,flavor11,6,8,16384
2015-02-01 03:20:37,flavor11,6,8,16384
2015-02-02 18:51:25,flavor3,0,1,4096
2015-02-02 23:38:30,flavor2,0,1,2048
2015-02-02 23:52:38,flavor18,0,32,131072
2015-02-02 23:53:43,flavor18,0,32,131072
2015-02-03 05:41:38,flavor5,1,2,4096
2015-02-03 17:24:50,flavor5,1,2,4096
2015-02-03 17:25:00,flavor7,1,4,4096
2015-02-03 17:25:00,flavor5,1,2,4096
2015-02-03 17:25:02,flavor6,1,2,8192
2015-02-03 17:25:10,flavor6,1,2,8192
2015-02-03 17:25:28,flavor6,1,2,8192
2015-02-03 17:25:37,flavor8,1,4,8192
2015-02-03 17:25:37,flavor6,1,2,8192
2015-02-03 17:25:37,flavor6,1,2,8192
2015-02-03 17:26:43,flavor6,1,2,8192
2015-02-03 18:45:58,flavor14,1,16,32768
2015-02-03 20:22:22,flavor9,1,4,16384
2015-02-03 21:14:26,flavor11,1,8,16384
2015-02-03 21:19:32,flavor14,1,16,32768
2015-02-03 21:19:42,flavor11,1,8,16384
2015-02-04 04:47:00,flavor2,2,1,2048
2015-02-04 19:20:59,flavor5,2,2,4096
2015-02-05 00:19:47,flavor11,3,8,16384
2015-02-05 00:19:47,flavor11,3,8,16384
2015-02-05 00:19:58,flavor11,3,8,16384
2015-02-05 00:19:58,flavor11,3,8,16384
2015-02-05 00:19:58,flavor11,3,8,16384
2015-02-05 00:19:59,flavor11,3,8,16384
2015-02-05 00:20:45,flavor8,3,4,8192
2015-02-05 00:20:45,flavor8,3,4,8192
2015-02-05 00:21:22,flavor14,3,16,32768
2015-02-05 00:21:22,flavor14,3,16,32768
2015-02-05 03:38:11,flavor8,3,4,8192
2015-02-05 03:38:20,flavor8,3,4,8192
2015-02-05 03:38:20,flavor8,3,4,8192
2015-02-05 03:38:21,flavor8,3,4,8192
2015-02-05 03:38:30,flavor8,3,4,8192
2015-02-05 03:39:53,flavor8,3,4,8192
2015-02-05 03:40:02,flavor8,3,4,8192
2015-02-05 03:40:03,flavor8,3,4,8192
2015-02-05 03:40:13,flavor8,3,4,8192
2015-02-05 03:49:38,flavor22,3,128,131072
2015-02-05 20:55:49,flavor6,3,2,8192
2015-02-05 20:55:50,flavor6,3,2,8192
2015-02-05 22:00:49,flavor3,3,1,4096
2015-02-05 22:00:59,flavor3,3,1,4096
2015-02-05 23:13:58,flavor11,3,8,16384
2015-02-06 03:10:06,flavor4,4,2,2048
2015-02-06 03:34:47,flavor5,4,2,4096
2015-02-06 03:34:57,flavor5,4,2,4096
2015-02-06 03:34:58,flavor8,4,4,8192
2015-02-06 19:02:42,flavor5,4,2,4096
2015-02-06 22:06:40,flavor14,4,16,32768
2015-02-06 22:06:40,flavor14,4,16,32768
2015-02-06 22:06:40,flavor14,4,16,32768
2015-02-06 22:07:54,flavor14,4,16,32768
2015-02-08 00:25:40,flavor8,6,4,8192
2015-02-08 21:16:40,flavor5,6,2,4096
2015-02-08 22:58:15,flavor15,6,16,65536
2015-02-08 23:53:39,flavor12,6,8,32768
2015-02-09 00:00:27,flavor9,0,4,16384
2015-02-09 00:01:49,flavor9,0,4,16384
2015-02-09 01:33:10,flavor12,0,8,32768
2015-02-09 01:41:49,flavor12,0,8,32768
2015-02-09 02:20:14,flavor18,0,32,131072
2015-02-09 02:23:20,flavor12,0,8,32768
2015-02-09 02:27:59,flavor9,0,4,16384
2015-02-09 17:55:27,flavor12,0,8,32768
2015-02-09 17:55:27,flavor12,0,8,32768
2015-02-09 17:55:35,flavor12,0,8,32768
2015-02-10 00:59:30,flavor8,1,4,8192
2015-02-10 01:36:31,flavor9,1,4,16384
2015-02-10 02:04:55,flavor1,1,1,1024
2015-02-10 02:06:08,flavor1,1,1,1024
2015-02-10 02:55:22,flavor2,1,1,2048
2015-02-10 02:56:17,flavor2,1,1,2048
2015-02-10 03:57:34,flavor9,1,4,16384
2015-02-10 04:07:45,flavor8,1,4,8192
2015-02-10 04:11:34,flavor8,1,4,8192
2015-02-11 18:39:55,flavor13,2,16,16384
2015-02-11 19:13:16,flavor11,2,8,16384
2015-02-11 19:56:02,flavor11,2,8,16384
2015-02-11 22:09:51,flavor22,2,128,131072
2015-02-11 22:10:01,flavor22,2,128,131072
2015-02-11 22:10:37,flavor22,2,128,131072
2015-02-11 22:13:53,flavor22,2,128,131072
2015-02-11 22:14:02,flavor22,2,128,131072
2015-02-11 22:14:03,flavor22,2,128,131072
2015-02-11 22:18:39,flavor9,2,4,16384
2015-02-12 00:12:42,flavor3,3,1,4096
2015-02-12 00:18:33,flavor7,3,4,4096
2015-02-12 00:40:40,flavor2,3,1,2048
2015-02-12 00:43:36,flavor2,3,1,2048
2015-02-12 01:40:24,flavor11,3,8,16384
2015-02-12 02:02:53,flavor7,3,4,4096
2015-02-12 02:04:26,flavor8,3,4,8192
2015-02-12 02:08:08,flavor8,3,4,8192
2015-02-12 02:08:45,flavor8,3,4,8192
2015-02-12 17:29:14,flavor8,3,4,8192
2015-02-12 18:01:40,flavor8,3,4,8192
2015-02-12 18:01:40,flavor8,3,4,8192
2015-02-12 18:01:48,flavor8,3,4,8192
2015-02-12 18:51:10,flavor7,3,4,4096
2015-02-12 19:02:16,flavor7,3,4,4096
2015-02-12 23:02:11,flavor12,3,8,32768
2015-02-12 23:04:21,flavor12,3,8,32768
2015-02-13 01:38:15,flavor11,4,8,16384
2015-02-13 01:38:16,flavor9,4,4,16384
2015-02-13 01:38:16,flavor9,4,4,16384
2015-02-13 01:38:17,flavor11,4,8,16384
2015-02-13 18:23:02,flavor7,4,4,4096
2015-02-13 18:25:03,flavor7,4,4,4096
2015-02-13 18:53:54,flavor7,4,4,4096
2015-02-13 18:53:54,flavor7,4,4,4096
2015-02-13 19:09:48,flavor5,4,2,4096
2015-02-13 19:12:54,flavor7,4,4,4096
2015-02-13 19:15:03,flavor7,4,4,4096
2015-02-13 19:18:27,flavor7,4,4,4096
2015-02-13 19:20:46,flavor7,4,4,4096
2015-02-14 00:42:33,flavor6,5,2,8192
2015-02-14 00:42:33,flavor5,5,2,4096
2015-02-14 00:42:34,flavor6,5,2,8192
2015-02-14 00:42:45,flavor6,5,2,8192
2015-02-14 00:42:54,flavor5,5,2,4096
2015-02-14 00:55:22,flavor9,5,4,16384
2015-02-15 12:36:55,flavor1,6,1,1024
2015-02-16 18:38:48,flavor11,0,8,16384
2015-02-16 21:26:02,flavor7,0,4,4096
2015-02-16 22:16:23,flavor3,0,1,4096
2015-02-16 23:04:52,flavor8,0,4,8192
2015-02-17 03:51:48,flavor11,1,8,16384
2015-02-17 17:22:11,flavor12,1,8,32768
2015-02-17 19:00:17,flavor9,1,4,16384
2015-02-17 19:00:17,flavor9,1,4,16384
2015-02-17 19:00:44,flavor9,1,4,16384
2015-02-17 20:21:30,flavor7,1,4,4096
2015-02-17 20:21:48,flavor7,1,4,4096
2015-02-17 20:52:12,flavor10,1,8,8192
2015-02-17 20:59:57,flavor10,1,8,8192
2015-02-17 21:04:33,flavor10,1,8,8192
2015-02-18 01:03:51,flavor8,2,4,8192
2015-02-18 01:04:02,flavor8,2,4,8192
2015-02-18 01:04:02,flavor8,2,4,8192
2015-02-18 01:04:02,flavor8,2,4,8192
2015-02-18 01:04:10,flavor8,2,4,8192
2015-02-18 01:04:11,flavor8,2,4,8192
2015-02-18 01:04:12,flavor8,2,4,8192
2015-02-18 01:04:12,flavor8,2,4,8192
2015-02-18 01:04:20,flavor8,2,4,8192
2015-02-18 01:04:21,flavor8,2,4,8192
2015-02-18 01:04:28,flavor8,2,4,8192
2015-02-18 01:04:28,flavor8,2,4,8192
2015-02-18 01:04:30,flavor8,2,4,8192
2015-02-18 01:04:30,flavor8,2,4,8192
2015-02-18 01:04:38,flavor8,2,4,8192
2015-02-18 01:04:40,flavor8,2,4,8192
2015-02-18 01:04:48,flavor8,2,4,8192
2015-02-18 01:04:48,flavor8,2,4,8192
2015-02-18 01:04:49,flavor8,2,4,8192
2015-02-18 01:04:49,flavor8,2,4,8192
2015-02-18 01:05:33,flavor8,2,4,8192
2015-02-18 01:05:34,flavor8,2,4,8192
2015-02-18 01:55:27,flavor8,2,4,8192
2015-02-18 01:55:27,flavor8,2,4,8192
2015-02-18 02:28:12,flavor10,2,8,8192
2015-02-18 23:57:15,flavor8,2,4,8192
2015-02-18 23:57:42,flavor9,2,4,16384
2015-02-18 23:57:52,flavor8,2,4,8192
2015-02-18 23:58:39,flavor8,2,4,8192
2015-02-19 02:13:38,flavor9,3,4,16384
2015-02-19 19:05:29,flavor2,3,1,2048
2015-02-19 19:05:38,flavor2,3,1,2048
