time,class,cpu,mem
2015-01-16 17:35:38,flavor9,4,16384
2015-01-16 17:43:31,flavor9,4,16384
2015-01-16 17:45:06,flavor8,4,8192
2015-01-16 17:46:31,flavor9,4,16384
2015-01-16 17:46:32,flavor9,4,16384
2015-01-16 22:21:34,flavor5,2,4096
2015-01-16 23:26:50,flavor8,4,8192
2015-01-19 19:07:17,flavor3,1,4096
2015-01-19 22:08:18,flavor15,16,65536
2015-01-20 00:13:12,flavor6,2,8192
2015-01-20 00:13:22,flavor8,4,8192
2015-01-20 00:13:23,flavor6,2,8192
2015-01-20 00:13:23,flavor6,2,8192
2015-01-20 00:13:32,flavor11,8,16384
2015-01-20 00:13:32,flavor9,4,16384
2015-01-20 01:47:22,flavor8,4,8192
2015-01-20 03:07:26,flavor5,2,4096
2015-01-20 03:07:27,flavor5,2,4096
2015-01-20 18:33:59,flavor11,8,16384
2015-01-20 18:35:04,flavor11,8,16384
2015-01-20 18:37:05,flavor11,8,16384
2015-01-20 18:55:10,flavor8,4,8192
2015-01-20 18:55:11,flavor8,4,8192
2015-01-20 19:00:19,flavor11,8,16384
2015-01-20 19:23:02,flavor5,2,4096
2015-01-22 01:27:35,flavor11,8,16384
2015-01-22 01:28:59,flavor11,8,16384
2015-01-22 03:05:59,flavor14,16,32768
2015-01-22 21:34:30,flavor2,1,2048
2015-01-22 21:34:32,flavor2,1,2048
2015-01-22 23:53:25,flavor4,2,2048
2015-01-23 07:44:59,flavor11,8,16384
2015-01-23 17:29:18,flavor11,8,16384
2015-01-23 17:29:26,flavor11,8,16384
2015-01-23 17:47:24,flavor3,1,4096
2015-01-24 02:00:40,flavor12,8,32768
2015-01-25 01:44:42,flavor14,16,32768
2015-01-25 01:44:43,flavor14,16,32768
2015-01-25 01:44:43,flavor14,16,32768
2015-01-25 01:44:52,flavor14,16,32768
2015-01-25 01:44:52,flavor14,16,32768
2015-01-25 01:44:52,flavor14,16,32768
2015-01-25 01:44:52,flavor14,16,32768
2015-01-25 01:45:01,flavor14,16,32768
2015-01-27 19:39:54,flavor5,2,4096
2015-01-28 19:03:36,flavor8,4,8192
2015-01-28 22:24:40,flavor5,2,4096
2015-01-28 23:50:22,flavor6,2,8192
2015-01-29 23:25:11,flavor5,2,4096
2015-01-29 23:25:22,flavor8,4,8192
2015-01-29 23:25:40,flavor8,4,8192
2015-01-29 23:26:00,flavor8,4,8192
2015-01-30 00:02:38,flavor8,4,8192
2015-01-30 00:02:47,flavor8,4,8192
2015-02-01 03:20:36,flavor11,8,16384
2015-02-01 03:20:36,flavor11,8,16384
2015-02-01 03:20:36,flavor11,8,16384
2015-02-01 03:20:37,flavor11,8,16384
2015-02-01 03:20:37,flavor11,8,16384
2015-02-02 18:51:25,flavor3,1,4096
2015-02-02 23:38:30,flavor2,1,2048
2015-02-02 23:52:38,flavor18,32,131072
2015-02-02 23:53:43,flavor18,32,131072
2015-02-03 05:41:38,flavor5,2,4096
2015-02-03 17:24:50,flavor5,2,4096
2015-02-03 17:25:00,flavor7,4,4096
2015-02-03 17:25:00,flavor5,2,4096
2015-02-03 17:25:02,flavor6,2,8192
2015-02-03 17:25:10,flavor6,2,8192
2015-02-03 17:25:28,flavor6,2,8192
2015-02-03 17:25:37,flavor8,4,8192
2015-02-03 17:25:37,flavor6,2,8192
2015-02-03 17:25:37,flavor6,2,8192
2015-02-03 17:26:43,flavor6,2,8192
2015-02-03 18:45:58,flavor14,16,32768
2015-02-03 20:22:22,flavor9,4,16384
2015-02-03 21:14:26,flavor11,8,16384
2015-02-03 21:19:32,flavor14,16,32768
2015-02-03 21:19:42,flavor11,8,16384
2015-02-04 04:47:00,flavor2,1,2048
2015-02-04 19:20:59,flavor5,2,4096
2015-02-05 00:19:47,flavor11,8,16384
2015-02-05 00:19:47,flavor11,8,16384
2015-02-05 00:19:58,flavor11,8,16384
2015-02-05 00:19:58,flavor11,8,16384
2015-02-05 00:19:58,flavor11,8,16384
2015-02-05 00:19:59,flavor11,8,16384
2015-02-05 00:20:45,flavor8,4,8192
2015-02-05 00:20:45,flavor8,4,8192
2015-02-05 00:21:22,flavor14,16,32768
2015-02-05 00:21:22,flavor14,16,32768
2015-02-05 03:38:11,flavor8,4,8192
2015-02-05 03:38:20,flavor8,4,8192
2015-02-05 03:38:20,flavor8,4,8192
2015-02-05 03:38:21,flavor8,4,8192
2015-02-05 03:38:30,flavor8,4,8192
2015-02-05 03:39:53,flavor8,4,8192
2015-02-05 03:40:02,flavor8,4,8192
2015-02-05 03:40:03,flavor8,4,8192
2015-02-05 03:40:13,flavor8,4,8192
2015-02-05 03:49:38,flavor22,128,131072
2015-02-05 20:55:49,flavor6,2,8192
2015-02-05 20:55:50,flavor6,2,8192
2015-02-05 22:00:49,flavor3,1,4096
2015-02-05 22:00:59,flavor3,1,4096
2015-02-05 23:13:58,flavor11,8,16384
2015-02-06 03:10:06,flavor4,2,2048
2015-02-06 03:34:47,flavor5,2,4096
2015-02-06 03:34:57,flavor5,2,4096
2015-02-06 03:34:58,flavor8,4,8192
2015-02-06 19:02:42,flavor5,2,4096
2015-02-06 22:06:40,flavor14,16,32768
2015-02-06 22:06:40,flavor14,16,32768
2015-02-06 22:06:40,flavor14,16,32768
2015-02-06 22:07:54,flavor14,16,32768
2015-02-08 00:25:40,flavor8,4,8192
2015-02-08 21:16:40,flavor5,2,4096
2015-02-08 22:58:15,flavor15,16,65536
2015-02-08 23:53:39,flavor12,8,32768
2015-02-09 00:00:27,flavor9,4,16384
2015-02-09 00:01:49,flavor9,4,16384
2015-02-09 01:33:10,flavor12,8,32768
2015-02-09 01:41:49,flavor12,8,32768
2015-02-09 02:20:14,flavor18,32,131072
2015-02-09 02:23:20,flavor12,8,32768
2015-02-09 02:27:59,flavor9,4,16384
2015-02-09 17:55:27,flavor12,8,32768
2015-02-09 17:55:27,flavor12,8,32768
2015-02-09 17:55:35,flavor12,8,32768
2015-02-10 00:59:30,flavor8,4,8192
2015-02-10 01:36:31,flavor9,4,16384
2015-02-10 02:04:55,flavor1,1,1024
2015-02-10 02:06:08,flavor1,1,1024
2015-02-10 02:55:22,flavor2,1,2048
2015-02-10 02:56:17,flavor2,1,2048
2015-02-10 03:57:34,flavor9,4,16384
2015-02-10 04:07:45,flavor8,4,8192
2015-02-10 04:11:34,flavor8,4,8192
2015-02-11 18:39:55,flavor13,16,16384
2015-02-11 19:13:16,flavor11,8,16384
2015-02-11 19:56:02,flavor11,8,16384
2015-02-11 22:09:51,flavor22,128,131072
2015-02-11 22:10:01,flavor22,128,131072
2015-02-11 22:10:37,flavor22,128,131072
2015-02-11 22:13:53,flavor22,128,131072
2015-02-11 22:14:02,flavor22,128,131072
2015-02-11 22:14:03,flavor22,128,131072
2015-02-11 22:18:39,flavor9,4,16384
2015-02-12 00:12:42,flavor3,1,4096
2015-02-12 00:18:33,flavor7,4,4096
2015-02-12 00:40:40,flavor2,1,2048
2015-02-12 00:43:36,flavor2,1,2048
2015-02-12 01:40:24,flavor11,8,16384
2015-02-12 02:02:53,flavor7,4,4096
2015-02-12 02:04:26,flavor8,4,8192
2015-02-12 02:08:08,flavor8,4,8192
2015-02-12 02:08:45,flavor8,4,8192
2015-02-12 17:29:14,flavor8,4,8192
2015-02-12 18:01:40,flavor8,4,8192
2015-02-12 18:01:40,flavor8,4,8192
2015-02-12 18:01:48,flavor8,4,8192
2015-02-12 18:51:10,flavor7,4,4096
2015-02-12 19:02:16,flavor7,4,4096
2015-02-12 23:02:11,flavor12,8,32768
2015-02-12 23:04:21,flavor12,8,32768
2015-02-13 01:38:15,flavor11,8,16384
2015-02-13 01:38:16,flavor9,4,16384
2015-02-13 01:38:16,flavor9,4,16384
2015-02-13 01:38:17,flavor11,8,16384
2015-02-13 18:23:02,flavor7,4,4096
2015-02-13 18:25:03,flavor7,4,4096
2015-02-13 18:53:54,flavor7,4,4096
2015-02-13 18:53:54,flavor7,4,4096
2015-02-13 19:09:48,flavor5,2,4096
2015-02-13 19:12:54,flavor7,4,4096
2015-02-13 19:15:03,flavor7,4,4096
2015-02-13 19:18:27,flavor7,4,4096
2015-02-13 19:20:46,flavor7,4,4096
2015-02-14 00:42:33,flavor6,2,8192
2015-02-14 00:42:33,flavor5,2,4096
2015-02-14 00:42:34,flavor6,2,8192
2015-02-14 00:42:45,flavor6,2,8192
2015-02-14 00:42:54,flavor5,2,4096
2015-02-14 00:55:22,flavor9,4,16384
2015-02-15 12:36:55,flavor1,1,1024
2015-02-16 18:38:48,flavor11,8,16384
2015-02-16 21:26:02,flavor7,4,4096
2015-02-16 22:16:23,flavor3,1,4096
2015-02-16 23:04:52,flavor8,4,8192
2015-02-17 03:51:48,flavor11,8,16384
2015-02-17 17:22:11,flavor12,8,32768
2015-02-17 19:00:17,flavor9,4,16384
2015-02-17 19:00:17,flavor9,4,16384
2015-02-17 19:00:44,flavor9,4,16384
2015-02-17 20:21:30,flavor7,4,4096
2015-02-17 20:21:48,flavor7,4,4096
2015-02-17 20:52:12,flavor10,8,8192
2015-02-17 20:59:57,flavor10,8,8192
2015-02-17 21:04:33,flavor10,8,8192
2015-02-18 01:03:51,flavor8,4,8192
2015-02-18 01:04:02,flavor8,4,8192
2015-02-18 01:04:02,flavor8,4,8192
2015-02-18 01:04:02,flavor8,4,8192
2015-02-18 01:04:10,flavor8,4,8192
2015-02-18 01:04:11,flavor8,4,8192
2015-02-18 01:04:12,flavor8,4,8192
2015-02-18 01:04:12,flavor8,4,8192
2015-02-18 01:04:20,flavor8,4,8192
2015-02-18 01:04:21,flavor8,4,8192
2015-02-18 01:04:28,flavor8,4,8192
2015-02-18 01:04:28,flavor8,4,8192
2015-02-18 01:04:30,flavor8,4,8192
2015-02-18 01:04:30,flavor8,4,8192
2015-02-18 01:04:38,flavor8,4,8192
2015-02-18 01:04:40,flavor8,4,8192
2015-02-18 01:04:48,flavor8,4,8192
2015-02-18 01:04:48,flavor8,4,8192
2015-02-18 01:04:49,flavor8,4,8192
2015-02-18 01:04:49,flavor8,4,8192
2015-02-18 01:05:33,flavor8,4,8192
2015-02-18 01:05:34,flavor8,4,8192
2015-02-18 01:55:27,flavor8,4,8192
2015-02-18 01:55:27,flavor8,4,8192
2015-02-18 02:28:12,flavor10,8,8192
2015-02-18 23:57:15,flavor8,4,8192
2015-02-18 23:57:42,flavor9,4,16384
2015-02-18 23:57:52,flavor8,4,8192
2015-02-18 23:58:39,flavor8,4,8192
2015-02-19 02:13:38,flavor9,4,16384
2015-02-19 19:05:29,flavor2,1,2048
2015-02-19 19:05:38,flavor2,1,2048
2015-02-20 00:20:40,flavor9,4,16384
2015-02-20 00:22:02,flavor7,4,4096
2015-02-20 02:46:26,flavor3,1,4096
2015-02-20 03:42:58,flavor15,16,65536
2015-02-20 03:42:59,flavor15,16,65536
2015-02-20 17:52:31,flavor17,32,65536
2015-02-20 17:52:40,flavor17,32,65536
2015-02-20 17:52:42,flavor17,32,65536
2015-02-20 18:11:30,flavor14,16,32768
2015-02-20 18:11:50,flavor14,16,32768
2015-02-20 18:12:24,flavor14,16,32768
2015-02-20 18:12:24,flavor14,16,32768
2015-02-20 18:12:24,flavor14,16,32768
2015-02-20 18:12:33,flavor14,16,32768
2015-02-20 18:12:34,flavor14,16,32768
2015-02-20 18:53:09,flavor11,8,16384
2015-02-20 18:53:29,flavor12,8,32768
2015-02-20 18:54:38,flavor11,8,16384
2015-02-20 18:54:54,flavor11,8,16384
2015-02-20 18:55:02,flavor11,8,16384
2015-02-20 19:07:16,flavor8,4,8192
2015-02-20 19:07:34,flavor8,4,8192
2015-02-21 19:42:09,flavor3,1,4096
2015-02-21 20:19:15,flavor9,4,16384
2015-02-21 20:19:32,flavor9,4,16384
2015-02-22 18:21:52,flavor3,1,4096
2015-02-23 19:13:52,flavor9,4,16384
2015-02-23 19:15:06,flavor9,4,16384
2015-02-23 19:31:50,flavor9,4,16384
2015-02-23 19:31:57,flavor9,4,16384
2015-02-23 19:32:17,flavor9,4,16384
2015-02-23 23:48:06,flavor11,8,16384
2015-02-24 00:48:08,flavor7,4,4096
2015-02-24 01:00:21,flavor9,4,16384
2015-02-24 03:19:32,flavor10,8,8192
2015-02-24 03:25:12,flavor10,8,8192
2015-02-24 17:18:29,flavor5,2,4096
2015-02-24 21:56:43,flavor8,4,8192
2015-02-24 22:03:12,flavor2,1,2048
2015-02-24 22:04:12,flavor2,1,2048
2015-02-24 22:04:20,flavor2,1,2048
2015-02-24 22:07:41,flavor8,4,8192
2015-02-25 00:21:44,flavor8,4,8192
2015-02-25 02:10:59,flavor5,2,4096
2015-02-25 23:25:06,flavor8,4,8192
2015-02-26 00:44:55,flavor2,1,2048
2015-02-26 00:44:56,flavor2,1,2048
2015-02-26 21:51:13,flavor2,1,2048
2015-02-26 21:51:22,flavor2,1,2048
2015-02-26 21:53:02,flavor2,1,2048
2015-02-26 21:53:04,flavor2,1,2048
2015-02-26 21:53:21,flavor2,1,2048
2015-02-26 21:53:48,flavor2,1,2048
2015-02-26 21:54:16,flavor2,1,2048
2015-02-26 21:56:27,flavor2,1,2048
2015-02-26 23:31:05,flavor9,4,16384
2015-02-26 23:31:15,flavor9,4,16384
2015-02-26 23:31:25,flavor9,4,16384
2015-02-26 23:31:52,flavor9,4,16384
2015-02-26 23:31:52,flavor9,4,16384
2015-02-26 23:32:28,flavor9,4,16384
2015-02-27 01:00:00,flavor5,2,4096
2015-02-27 01:00:01,flavor5,2,4096
2015-02-27 02:10:24,flavor3,1,4096
2015-02-27 02:33:26,flavor8,4,8192
2015-02-27 02:34:21,flavor10,8,8192
2015-02-27 02:34:21,flavor10,8,8192
2015-02-27 17:45:46,flavor5,2,4096
2015-02-27 17:45:46,flavor9,4,16384
2015-02-27 17:45:53,flavor9,4,16384
2015-02-27 17:45:53,flavor9,4,16384
2015-02-27 17:45:54,flavor5,2,4096
2015-02-27 17:45:55,flavor9,4,16384
2015-02-27 18:00:33,flavor5,2,4096
2015-02-27 18:00:43,flavor5,2,4096
2015-02-27 18:00:44,flavor5,2,4096
2015-02-27 18:00:44,flavor5,2,4096
2015-02-27 18:00:51,flavor6,2,8192
2015-02-27 18:03:38,flavor6,2,8192
2015-02-27 18:14:19,flavor9,4,16384
2015-02-27 18:14:37,flavor9,4,16384
2015-02-27 18:14:55,flavor6,2,8192
2015-02-27 18:15:04,flavor9,4,16384
2015-02-27 18:15:05,flavor9,4,16384
2015-02-27 18:15:53,flavor9,4,16384
2015-02-27 18:30:32,flavor5,2,4096
2015-02-27 18:30:51,flavor6,2,8192
2015-02-27 18:42:34,flavor5,2,4096
2015-02-27 18:42:42,flavor8,4,8192
2015-02-27 18:51:40,flavor1,1,1024
2015-02-27 18:51:41,flavor1,1,1024
2015-02-27 19:03:42,flavor5,2,4096
2015-02-27 19:03:51,flavor6,2,8192
2015-02-27 19:04:02,flavor9,4,16384
2015-02-27 19:04:12,flavor5,2,4096
2015-02-28 17:43:39,flavor8,4,8192
2015-02-28 17:43:40,flavor8,4,8192
2015-02-28 17:43:40,flavor8,4,8192
2015-02-28 17:43:47,flavor8,4,8192
2015-02-28 17:43:48,flavor8,4,8192
2015-02-28 17:43:48,flavor8,4,8192
2015-02-28 17:43:48,flavor8,4,8192
2015-03-01 18:12:28,flavor5,2,4096
2015-03-01 18:12:37,flavor5,2,4096
2015-03-01 18:12:38,flavor8,4,8192
2015-03-01 18:12:39,flavor5,2,4096
2015-03-01 18:12:46,flavor8,4,8192
2015-03-01 18:12:46,flavor5,2,4096
2015-03-01 18:12:48,flavor5,2,4096
2015-03-01 18:12:48,flavor8,4,8192
2015-03-01 18:43:49,flavor5,2,4096
2015-03-01 18:43:57,flavor9,4,16384
2015-03-01 18:44:08,flavor9,4,16384
2015-03-01 19:00:40,flavor8,4,8192
2015-03-01 19:00:57,flavor8,4,8192
2015-03-01 19:00:58,flavor8,4,8192
2015-03-01 19:01:01,flavor8,4,8192
2015-03-01 19:01:07,flavor8,4,8192
2015-03-01 19:01:07,flavor8,4,8192
2015-03-01 19:23:10,flavor8,4,8192
2015-03-01 19:23:19,flavor8,4,8192
2015-03-01 19:23:29,flavor9,4,16384
2015-03-01 19:23:30,flavor9,4,16384
2015-03-01 19:25:38,flavor5,2,4096
2015-03-01 19:25:39,flavor5,2,4096
2015-03-01 19:25:59,flavor5,2,4096
2015-03-01 19:26:07,flavor5,2,4096
2015-03-01 19:28:53,flavor8,4,8192
2015-03-01 19:28:55,flavor8,4,8192
2015-03-01 19:29:03,flavor9,4,16384
2015-03-01 19:29:04,flavor9,4,16384
2015-03-01 19:29:11,flavor8,4,8192
2015-03-01 22:13:08,flavor7,4,4096
2015-03-01 22:13:15,flavor7,4,4096
2015-03-01 22:13:16,flavor8,4,8192
2015-03-01 22:13:17,flavor7,4,4096
2015-03-01 22:13:35,flavor7,4,4096
2015-03-01 22:13:54,flavor8,4,8192
2015-03-01 22:14:50,flavor5,2,4096
2015-03-01 22:14:58,flavor5,2,4096
2015-03-01 22:15:07,flavor5,2,4096
2015-03-01 22:15:07,flavor5,2,4096
2015-03-01 22:16:21,flavor5,2,4096
2015-03-01 22:16:22,flavor5,2,4096
2015-03-01 22:16:30,flavor5,2,4096
2015-03-01 22:16:31,flavor6,2,8192
2015-03-01 23:23:12,flavor14,16,32768
2015-03-01 23:23:13,flavor6,2,8192
2015-03-01 23:23:21,flavor7,4,4096
2015-03-01 23:23:22,flavor6,2,8192
2015-03-01 23:23:22,flavor6,2,8192
2015-03-01 23:23:22,flavor14,16,32768
2015-03-01 23:23:23,flavor8,4,8192
2015-03-01 23:23:23,flavor5,2,4096
2015-03-01 23:23:23,flavor15,16,65536
2015-03-01 23:23:31,flavor5,2,4096
2015-03-01 23:23:31,flavor15,16,65536
2015-03-01 23:23:32,flavor6,2,8192
2015-03-01 23:23:39,flavor6,2,8192
2015-03-01 23:23:40,flavor5,2,4096
2015-03-01 23:23:51,flavor15,16,65536
2015-03-01 23:51:36,flavor5,2,4096
2015-03-02 17:54:13,flavor6,2,8192
2015-03-02 18:30:39,flavor1,1,1024
2015-03-02 21:47:47,flavor9,4,16384
2015-03-03 00:51:25,flavor11,8,16384
2015-03-03 22:34:48,flavor6,2,8192
2015-03-03 23:47:41,flavor8,4,8192
2015-03-03 23:47:48,flavor8,4,8192
2015-03-04 01:53:37,flavor9,4,16384
2015-03-04 22:32:51,flavor5,2,4096
2015-03-04 22:33:00,flavor5,2,4096
2015-03-04 22:33:36,flavor8,4,8192
2015-03-04 23:08:40,flavor9,4,16384
2015-03-05 02:13:20,flavor11,8,16384
2015-03-05 20:36:18,flavor7,4,4096
2015-03-15 17:54:53,flavor3,1,4096
2015-03-16 19:42:44,flavor8,4,8192
2015-03-16 23:29:51,flavor9,4,16384
2015-03-17 00:15:30,flavor17,32,65536
2015-03-17 00:45:14,flavor8,4,8192
2015-03-17 13:18:03,flavor14,16,32768
2015-03-17 13:18:12,flavor14,16,32768
2015-03-17 13:18:12,flavor14,16,32768
2015-03-17 13:18:12,flavor14,16,32768
2015-03-17 13:19:08,flavor14,16,32768
2015-03-17 18:30:05,flavor3,1,4096
2015-03-18 17:32:57,flavor9,4,16384
2015-03-18 22:44:06,flavor8,4,8192
2015-03-18 23:43:25,flavor1,1,1024
2015-03-19 19:07:43,flavor3,1,4096
2015-03-20 02:51:11,flavor3,1,4096
2015-03-20 04:47:51,flavor8,4,8192
2015-03-22 18:52:22,flavor11,8,16384
2015-03-22 18:52:30,flavor8,4,8192
2015-03-22 18:52:31,flavor11,8,16384
2015-03-22 18:52:32,flavor11,8,16384
2015-03-22 18:52:41,flavor8,4,8192
2015-03-22 18:52:49,flavor11,8,16384
2015-03-22 23:36:51,flavor14,16,32768
2015-03-22 23:36:51,flavor14,16,32768
2015-03-22 23:37:00,flavor14,16,32768
2015-03-22 23:37:00,flavor14,16,32768
2015-03-22 23:41:12,flavor14,16,32768
2015-03-22 23:41:12,flavor14,16,32768
2015-03-22 23:41:12,flavor14,16,32768
2015-03-22 23:41:21,flavor14,16,32768
2015-03-22 23:41:21,flavor14,16,32768
2015-03-22 23:41:21,flavor14,16,32768
2015-03-22 23:42:30,flavor10,8,8192
2015-03-23 00:41:49,flavor2,1,2048
2015-03-23 19:10:27,flavor8,4,8192
2015-03-23 19:10:36,flavor5,2,4096
2015-03-23 19:10:37,flavor8,4,8192
2015-03-23 19:10:38,flavor5,2,4096
2015-03-23 20:52:23,flavor5,2,4096
2015-03-24 00:55:23,flavor14,16,32768
2015-03-24 00:55:23,flavor14,16,32768
2015-03-24 00:55:32,flavor14,16,32768
2015-03-24 00:55:32,flavor14,16,32768
2015-03-24 00:55:32,flavor14,16,32768
2015-03-24 00:55:33,flavor14,16,32768
2015-03-24 03:22:36,flavor11,8,16384
2015-03-24 03:22:44,flavor11,8,16384
2015-03-24 16:59:28,flavor9,4,16384
2015-03-24 18:54:46,flavor1,1,1024
2015-03-24 22:54:46,flavor8,4,8192
2015-03-24 23:07:01,flavor8,4,8192
2015-03-24 23:07:02,flavor8,4,8192
2015-03-24 23:07:03,flavor8,4,8192
2015-03-24 23:07:10,flavor8,4,8192
2015-03-24 23:07:10,flavor8,4,8192
2015-03-24 23:07:11,flavor8,4,8192
2015-03-24 23:07:12,flavor8,4,8192
2015-03-24 23:38:45,flavor9,4,16384
2015-03-24 23:38:55,flavor9,4,16384
